,Lambda,val_acc,test_acc
0,6.82500e-02,4.08200e-01,4.21500e-01
1,2.29400e-02,4.77400e-01,4.91200e-01
2,3.32800e-04,5.04000e-01,5.14800e-01
3,3.05700e-04,5.06800e-01,5.13900e-01
4,4.90100e-05,5.06800e-01,5.10300e-01
5,9.53400e-05,5.07400e-01,5.06500e-01
6,1.80600e-04,5.08000e-01,5.18800e-01
7,5.71100e-05,5.08800e-01,5.14400e-01
8,9.55500e-04,5.09800e-01,5.17100e-01
9,1.55000e-04,5.11400e-01,5.14400e-01
10,1.13100e-03,5.11600e-01,5.23800e-01
11,5.24600e-04,5.12000e-01,5.13600e-01
12,2.51000e-04,5.12400e-01,5.13400e-01
13,1.53300e-04,5.14800e-01,5.10500e-01
14,3.01500e-04,5.15400e-01,5.05900e-01
15,4.84900e-05,5.16000e-01,5.10000e-01
